"","Date","Tweets.published","impressions","engagements","taux.d‚..engagement","Retweets","r√.ponses","J.aime","clics.sur.le.profil.de.l.utilisateur","clics.sur.l.URL","clics.sur.le.hashtag","ouvertures.des.d√.tails","clics.sur.le.permalien","ouvertures.d.application","installations.de.l.application","abonnements.","envoyer.le.Tweet.par.email","composer.le.num√.ro","vues.du.m√.dia","engagements.avec.le.m√.dia","impressions.sponsoris√.","engagements.sponsoris√.","taux.d‚..engagement.sponsoris√.","Retweets.sponsoris√.","r√.ponses.sponsoris√.","J.aime.sponsoris√.","clics.sur.le.profil.de.l.utilisateur.sponsoris√.","clics.sur.l.URL.sponsoris√.","clics.sur.le.hashtag.sponsoris√.","ouvertures.des.d√.tails.sponsoris√.","clics.sur.le.permalien.sponsoris√.","ouvertures.d.application.sponsoris√.","installations.de.l.application.sponsoris√.","abonnements..sponsoris√.","envoyer.le.Tweet.par.email.sponsoris√.","composer.le.num√.ro.sponsoris√.","vues.du.m√.dia.sponsoris√.","engagements.avec.le.m√.dia.sponsoris√."
"97","2021-01-05",1,184,6,0.0326086956521739,3,0,1,0,0,0,2,0,0,0,0,0,0,17,0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"98","2021-01-06",0,261,3,0.0114942528735632,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"99","2021-01-07",1,342,5,0.0146198830409357,0,0,0,1,1,0,2,0,0,0,0,0,0,5,1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"100","2021-01-08",0,88,5,0.0568181818181818,0,0,0,2,0,0,1,0,0,0,0,0,0,3,2,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"101","2021-01-09",0,93,1,0.010752688172043,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"102","2021-01-10",0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"103","2021-01-11",0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"104","2021-01-12",0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105","2021-01-13",1,196,10,0.0510204081632653,2,0,1,2,0,0,3,0,0,0,0,0,0,24,2,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"106","2021-01-14",1,134,5,0.0373134328358209,0,0,2,0,0,0,3,0,0,0,0,0,0,2,0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"107","2021-01-15",0,139,7,0.0503597122302158,2,0,2,0,0,0,1,0,0,0,0,0,0,5,2,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"108","2021-01-16",0,29,2,0.0689655172413793,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"109","2021-01-17",0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"110","2021-01-18",0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"111","2021-01-19",1,159,4,0.0251572327044025,0,0,0,0,0,0,2,0,0,0,0,0,0,8,2,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"112","2021-01-20",0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"113","2021-01-21",0,47,2,0.0425531914893617,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"114","2021-01-22",0,14,1,0.0714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"115","2021-01-23",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"116","2021-01-24",0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"117","2021-01-25",0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"118","2021-01-26",1,172,1,0.00581395348837209,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
